6540	100	-2399
6550	100	-905
6560	100	-984
6570	100	-653
6580	100	-3024
6590	100	-1701
6600	91	-1025
6610	100	-1047
6620	92	-495
6630	100	-2312
6640	99	-3572
6650	100	-958
6660	100	-2787
6670	100	-1692
6680	100	-2940
6690	91	-689
6700	100	-699
6710	100	-1899
6720	94	-2184
6730	100	-2730
6740	100	-744
6750	100	-2539
6760	100	-3217
6770	100	-1393
6780	100	-1847
6790	100	-476
6800	100	-577
6810	100	-632
6820	93	-1414
6830	100	-579
6840	100	-804
6850	100	-703
6860	100	-1376
6870	96	-1234
6880	100	-834
6890	100	-836
6900	97	-1708
6910	100	-2674
6920	100	-525
6930	100	-944
6940	100	-887
6950	100	-2831
6960	100	-658
6970	100	-537
6980	100	-719
6990	100	-1316
7000	100	-935
7010	100	-685
7020	100	-1984
7030	100	-1566
7040	100	-573
7050	100	-1325
7060	100	-1106
7070	100	-779
7080	100	-1418
7090	100	-827
7100	100	-435
7110	100	-1186
7120	100	-776
7130	100	-2636
7140	100	-816
7150	100	-992
7160	100	-505
7170	100	-522
7180	100	-2464
7190	100	-1218
7200	100	-2491
7210	100	-2651
7220	100	-1059
7230	100	-710
7240	100	-476
7250	100	-1853
7260	100	-799
7270	99	-2456
7280	100	-1113
7290	100	-899
7300	99	-878
7310	100	-966
7320	100	-776
7330	100	-3252
7340	100	-1592
7350	90	-739
7360	100	-2125
7370	100	-1382
7380	100	-2075
7390	100	-2867
7400	100	-862
7410	100	-1084
7420	94	-1111
7430	100	-650
7440	100	-805
7450	100	-650
7460	100	-1461
7470	95	-484
7480	100	-674
7490	100	-793
7500	100	-537
7510	100	-1838
7520	100	-2392
7530	100	-1198
7540	100	-1860
7550	100	-1095
7560	100	-2613
7570	100	-621
7580	100	-1334
7590	100	-1162
7600	100	-1048
7610	98	-548
7620	100	-2126
7630	100	-570
7640	100	-1007
7650	100	-1095
7660	100	-1098
7670	100	-3099
7680	100	-2182
7690	100	-524
7700	100	-447
7710	100	-577
7720	100	-1250
7730	100	-520
7740	100	-2298
7750	98	-2235
7760	100	-3117
7770	100	-902
7780	91	-962
7790	100	-1929
7800	100	-1124
7810	100	-751
7820	100	-731
7830	90	-2039
7840	90	-766
7850	93	-731
7860	100	-1060
7870	100	-642
7880	100	-793
7890	100	-656
7900	100	-3336
7910	100	-1163
7920	100	-1010
7930	100	-660
7940	100	-1173
7950	100	-491
7960	100	-850
7970	92	-774
7980	100	-806
7990	100	-474
8000	100	-960
8010	100	-1241
8020	93	-930
8030	100	-1834
8040	100	-1197
8050	100	-630
8060	100	-828
8070	100	-858
8080	100	-1889
8090	100	-1902
8100	100	-607
8110	99	-459
8120	97	-1153
8130	99	-2996
8140	100	-864
8150	100	-579
8160	100	-497
8170	100	-554
8180	100	-887
8190	100	-2352
8200	100	-1785
8210	100	-3008
8220	96	-933
8230	100	-2413
8240	100	-850
8250	100	-1523
8260	100	-2145
8270	100	-1458
8280	94	-382
8290	100	-1448
8300	100	-3214
8310	100	-981
8320	100	-1266
8330	100	-891
8340	100	-2468
8350	100	-1059
8360	100	-419
8370	100	-748
8380	100	-2285
8390	100	-2165
8400	95	-566
8410	100	-1329
8420	100	-579
8430	100	-2175
8440	100	-2568
8450	100	-2749
8460	100	-2234
8470	100	-4021
8480	100	-823
8490	100	-929
8500	100	-1273
8510	100	-1040
8520	100	-3187
8530	100	-1086
8540	100	-1189
8550	100	-776
8560	100	-3616
8570	100	-553
8580	100	-1304
8590	100	-611
8600	100	-1120
8610	100	-525
8620	98	-1376
8630	100	-641
8640	100	-475
8650	100	-770
8660	100	-715
8670	100	-687
8680	100	-660
8690	100	-1110
8700	100	-2081
8710	100	-958
8720	95	-1046
8730	100	-1323
8740	100	-795
8750	93	-1052
8760	100	-681
8770	100	-505
8780	100	-925
8790	100	-1385
8800	100	-2135
8810	100	-1079
8820	100	-879
8830	100	-1050
8840	100	-622
8850	97	-2373
8860	100	-2362
8870	100	-3043
8880	100	-1427
8890	100	-533
8900	100	-1186
8910	100	-1967
8920	100	-1001
8930	100	-1128
8940	100	-642
8950	100	-608
8960	94	-972
8970	100	-2099
8980	100	-2377
8990	100	-577
9000	100	-589
9010	100	-774
9020	100	-570
9030	100	-1095
9040	100	-1662
9050	100	-526
9060	99	-987
9070	100	-635
9080	100	-743
9090	100	-1053
9100	100	-1028
9110	95	-1633
9120	100	-816
9130	100	-831
9140	100	-736
9150	100	-964
9160	96	-788
9170	97	-3171
9180	100	-908
9190	100	-1960
9200	100	-2137
9210	100	-1450
9220	100	-2177
9230	100	-1211
9240	100	-834
9250	100	-2693
9260	96	-1157
9270	100	-1229
9280	100	-918
9290	100	-567
9300	100	-1058
9310	100	-849
9320	100	-688
9330	93	-1047
9340	100	-1330
9350	100	-1061
9360	100	-636
9370	100	-2734
9380	100	-1309
9390	93	-1835
9400	100	-1510
9410	97	-658
9420	100	-2308
9430	100	-886
9440	100	-574
9450	100	-749
9460	100	-1833
9470	100	-568
9480	98	-974
9490	100	-760
9500	100	-1678
9510	100	-2274
9520	100	-2813
9530	90	-789
9540	100	-619
9550	100	-675
9560	100	-656
9570	100	-2701
9580	100	-2224
9590	95	-538
9600	100	-2295
9610	100	-1206
9620	100	-2622
9630	100	-1844
9640	100	-586
9650	100	-1549
9660	100	-712
9670	100	-719
9680	100	-1018
9690	100	-893
9700	100	-2412
9710	100	-2497
9720	100	-1758
9730	100	-970
9740	100	-724
9750	98	-643
9760	100	-634
9770	100	-692
9780	100	-1932
9790	100	-607
9800	100	-673
9810	100	-830
9820	100	-822
9830	100	-651
9840	100	-1647
9850	100	-1149
9860	100	-861
9870	100	-1149
9880	100	-1870
9890	98	-469
